"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 02- 28","205.71","210.59","211.23","203.75","153.14M","-0.92%"
"2023- 02- 27","207.63","202.03","209.42","201.26","161.03M","5.46%"
"2023- 02- 24","196.88","196.32","197.67","192.80","142.23M","-2.57%"
"2023- 02- 23","202.07","203.91","205.14","196.33","146.36M","0.60%"
"2023- 02- 22","200.86","197.93","201.99","191.78","191.83M","1.77%"
"2023- 02- 21","197.37","204.99","209.71","197.22","180.02M","-5.25%"
"2023- 02- 17","208.31","199.99","208.44","197.50","213.74M","3.10%"
"2023- 02- 16","202.04","210.78","217.65","201.84","229.59M","-5.69%"
"2023- 02- 15","214.24","211.75","214.66","206.11","182.11M","2.38%"
"2023- 02- 14","209.25","191.94","209.82","189.44","216.46M","7.51%"
"2023- 02- 13","194.64","194.41","196.30","187.61","172.48M","-1.14%"
"2023- 02- 10","196.89","202.22","206.20","192.89","204.75M","-5.03%"
"2023- 02- 09","207.32","207.78","214.00","204.77","215.43M","3.00%"
"2023- 02- 08","201.29","196.10","203.00","194.31","180.67M","2.28%"
"2023- 02- 07","196.81","196.43","197.50","189.55","186.01M","1.05%"
"2023- 02- 06","194.76","193.01","198.17","189.92","186.19M","2.52%"
"2023- 02- 03","189.98","183.95","199.00","183.69","232.66M","0.91%"
"2023- 02- 02","188.27","187.32","196.75","182.61","217.45M","3.78%"
"2023- 02- 01","181.41","173.89","183.81","169.93","213.81M","4.73%"
"2023- 01- 31","173.22","164.57","174.30","162.78","196.81M","3.94%"
"2023- 01- 30","166.66","178.05","179.77","166.50","230.88M","-6.32%"
"2023- 01- 27","177.90","162.43","180.68","161.17","306.59M","11.00%"
"2023- 01- 26","160.27","159.97","161.42","154.76","234.82M","10.97%"
"2023- 01- 25","144.43","141.91","146.41","138.07","192.73M","0.38%"
"2023- 01- 24","143.89","143.00","146.50","141.10","158.70M","0.10%"
"2023- 01- 23","143.75","135.87","145.38","134.27","203.12M","7.74%"
"2023- 01- 20","133.42","128.68","133.51","127.35","138.86M","4.91%"
"2023- 01- 19","127.17","127.26","129.99","124.31","170.29M","-1.25%"
"2023- 01- 18","128.78","136.56","136.68","127.01","195.68M","-2.06%"
"2023- 01- 17","131.49","125.69","131.70","125.02","186.48M","7.43%"
"2023- 01- 13","122.40","116.55","122.63","115.60","180.71M","-0.94%"
"2023- 01- 12","123.56","122.56","124.13","117.00","169.40M","0.28%"
"2023- 01- 11","123.22","122.09","125.95","120.51","183.81M","3.68%"
"2023- 01- 10","118.85","121.07","122.76","114.92","167.64M","-0.77%"
"2023- 01- 09","119.77","118.96","123.52","117.11","190.28M","5.93%"
"2023- 01- 06","113.06","103.00","114.39","101.81","220.91M","2.47%"
"2023- 01- 05","110.34","110.51","111.75","107.16","157.99M","-2.90%"
"2023- 01- 04","113.64","109.11","114.59","107.52","180.39M","5.12%"
"2023- 01- 03","108.10","118.47","118.80","104.64","231.40M","-12.24%"
