"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 01- 22","37.97","38.13","39.63","37.27","470.54M","4.08%"
"2020- 01- 21","36.48","35.35","36.57","35.23","267.05M","7.20%"
"2020- 01- 17","34.03","33.84","34.38","33.54","204.44M","-0.58%"
"2020- 01- 16","34.23","32.92","34.30","32.81","326.05M","-0.98%"
"2020- 01- 15","34.57","35.32","35.86","34.45","260.53M","-3.60%"
"2020- 01- 14","35.86","36.28","36.49","34.99","435.92M","2.49%"
"2020- 01- 13","34.99","32.90","35.04","32.80","399.52M","9.76%"
"2020- 01- 10","31.88","32.12","32.33","31.58","194.65M","-0.65%"
"2020- 01- 09","32.09","33.14","33.25","31.52","426.95M","-2.19%"
"2020- 01- 08","32.81","31.58","33.23","31.22","467.99M","4.92%"
"2020- 01- 07","31.27","30.76","31.44","30.22","273.14M","3.89%"
"2020- 01- 06","30.10","29.36","30.10","29.33","152.36M","1.93%"
"2020- 01- 03","29.53","29.37","30.27","29.13","266.92M","2.96%"
"2020- 01- 02","28.68","28.30","28.71","28.11","143.38M","2.83%"
