"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 12- 01","352.26","386.90","390.95","295.37","1.53B","-7.69%"
"2021- 11- 01","381.59","381.67","414.50","326.20","1.95B","2.76%"
"2021- 10- 01","371.33","259.47","371.74","254.53","1.59B","43.65%"
"2021- 09- 01","258.49","244.69","266.33","236.28","1.17B","5.40%"
"2021- 08- 01","245.24","233.33","246.80","216.28","1.15B","7.06%"
"2021- 07- 01","229.07","227.97","233.33","206.82","1.35B","1.10%"
"2021- 06- 01","226.57","209.27","232.54","190.41","1.56B","8.71%"
"2021- 05- 01","208.41","234.60","235.33","182.33","1.88B","-11.87%"
"2021- 04- 01","236.48","229.46","260.26","219.81","2.04B","6.22%"
"2021- 03- 01","222.64","230.04","240.37","179.83","2.83B","-1.12%"
"2021- 02- 01","225.17","271.43","293.50","206.33","1.57B","-14.87%"
"2021- 01- 01","264.51","239.82","300.13","239.06","2.12B","12.45%"
