"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 01","235.22","199.20","239.57","180.40","3.59B","24.32%"
"2020- 11- 01","189.20","131.33","202.60","130.77","2.35B","46.27%"
"2020- 10- 01","129.35","146.92","155.30","126.37","2.50B","-9.55%"
"2020- 09- 01","143.00","167.38","167.50","109.96","5.21B","-13.91%"
"2020- 08- 01","166.11","96.61","166.71","91.00","4.67B","74.16%"
"2020- 07- 01","95.38","72.20","119.67","72.03","5.68B","32.49%"
"2020- 06- 01","71.99","57.20","72.51","56.94","3.84B","29.32%"
"2020- 05- 01","55.67","50.33","56.22","45.54","4.09B","6.79%"
"2020- 04- 01","52.13","33.60","57.99","29.76","5.72B","49.24%"
"2020- 03- 01","34.93","47.42","53.80","23.37","6.32B","-21.56%"
"2020- 02- 01","44.53","44.91","64.60","40.77","7.10B","2.67%"
"2020- 01- 01","43.37","28.30","43.53","28.11","6.12B","55.50%"
