"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 30","123.18","119.95","124.48","119.75","157.78M","1.12%"
"2022- 12- 29","121.82","120.39","123.57","117.50","221.92M","8.08%"
"2022- 12- 28","112.71","110.35","116.27","108.24","221.07M","3.31%"
"2022- 12- 27","109.10","117.50","119.67","108.76","208.64M","-11.41%"
"2022- 12- 23","123.15","126.37","128.62","121.02","166.99M","-1.76%"
"2022- 12- 22","125.35","136.00","136.63","122.26","210.09M","-8.88%"
"2022- 12- 21","137.57","139.34","141.26","135.89","145.42M","-0.17%"
"2022- 12- 20","137.80","146.05","148.47","137.66","159.56M","-8.05%"
"2022- 12- 19","149.87","154.00","155.25","145.82","139.39M","-0.24%"
"2022- 12- 16","150.23","159.63","160.99","150.04","139.03M","-4.72%"
"2022- 12- 15","157.67","153.44","160.93","153.28","122.33M","0.55%"
"2022- 12- 14","156.80","159.25","161.62","155.31","140.68M","-2.58%"
"2022- 12- 13","160.95","174.87","175.05","156.91","175.86M","-4.09%"
"2022- 12- 12","167.82","176.10","177.37","167.52","109.79M","-6.27%"
"2022- 12- 09","179.05","173.84","182.50","173.36","104.87M","3.23%"
"2022- 12- 08","173.44","172.20","175.20","169.06","97.62M","-0.34%"
"2022- 12- 07","174.04","175.03","179.38","172.22","84.21M","-3.21%"
"2022- 12- 06","179.82","181.22","183.65","175.33","92.15M","-1.44%"
"2022- 12- 05","182.45","189.44","191.27","180.55","93.12M","-6.37%"
"2022- 12- 02","194.86","191.78","196.25","191.11","73.65M","0.08%"
"2022- 12- 01","194.70","197.08","198.92","191.80","80.05M","0.00%"
"2022- 11- 30","194.70","182.43","194.76","180.63","109.19M","7.67%"
"2022- 11- 29","180.83","184.99","186.38","178.75","83.36M","-1.14%"
"2022- 11- 28","182.92","179.96","188.50","179.00","93.04M","0.03%"
"2022- 11- 25","182.86","185.06","185.20","180.63","50.67M","-0.19%"
"2022- 11- 23","183.20","173.57","183.62","172.50","109.54M","7.82%"
"2022- 11- 22","169.91","168.63","170.92","166.19","78.45M","1.22%"
"2022- 11- 21","167.87","175.85","176.77","167.54","92.88M","-6.84%"
"2022- 11- 18","180.19","185.05","185.19","176.55","76.05M","-1.63%"
"2022- 11- 17","183.17","183.96","186.16","180.90","64.34M","-2.01%"
"2022- 11- 16","186.92","191.51","192.57","185.66","66.57M","-3.86%"
"2022- 11- 15","194.42","195.88","200.82","192.06","91.29M","1.82%"
"2022- 11- 14","190.95","192.77","195.73","186.34","92.23M","-2.56%"
"2022- 11- 11","195.97","186.00","196.52","182.59","114.40M","2.75%"
"2022- 11- 10","190.72","189.90","191.00","180.03","132.70M","7.39%"
"2022- 11- 09","177.59","190.78","195.89","177.12","127.06M","-7.17%"
"2022- 11- 08","191.30","194.02","195.20","186.75","128.80M","-2.93%"
"2022- 11- 07","197.08","208.65","208.90","196.66","93.92M","-5.01%"
"2022- 11- 04","207.47","222.60","223.80","203.08","98.62M","-3.64%"
"2022- 11- 03","215.31","211.36","221.20","210.14","56.54M","0.15%"
"2022- 11- 02","214.98","226.04","227.87","214.82","63.07M","-5.64%"
"2022- 11- 01","227.82","234.05","237.40","227.28","62.69M","0.12%"
"2022- 10- 31","227.54","226.19","229.85","221.94","61.55M","-0.43%"
"2022- 10- 28","228.52","225.40","228.86","216.35","69.15M","1.52%"
"2022- 10- 27","225.09","229.77","233.81","222.85","61.64M","0.20%"
"2022- 10- 26","224.64","219.40","230.60","218.20","85.33M","1.00%"
"2022- 10- 25","222.41","210.10","224.35","210.00","96.51M","5.28%"
"2022- 10- 24","211.25","205.82","213.50","198.59","100.45M","-1.49%"
"2022- 10- 21","214.44","206.41","214.66","203.80","75.71M","3.45%"
"2022- 10- 20","207.28","208.28","215.55","202.00","117.80M","-6.65%"
"2022- 10- 19","222.04","219.80","222.93","217.78","66.57M","0.84%"
"2022- 10- 18","220.19","229.50","229.82","217.25","75.89M","0.38%"
"2022- 10- 17","219.35","210.04","221.86","209.45","79.43M","7.01%"
"2022- 10- 14","204.99","224.01","226.26","204.16","94.12M","-7.55%"
"2022- 10- 13","221.72","208.30","222.99","206.22","91.48M","2.06%"
"2022- 10- 12","217.24","215.33","219.30","211.51","66.86M","0.34%"
"2022- 10- 11","216.50","220.94","225.75","215.00","77.01M","-2.90%"
"2022- 10- 10","222.96","223.93","226.99","218.36","67.93M","-0.05%"
"2022- 10- 07","223.07","233.94","234.57","222.02","83.92M","-6.32%"
"2022- 10- 06","238.13","239.44","244.58","235.35","69.30M","-1.11%"
"2022- 10- 05","240.81","245.01","246.67","233.27","86.98M","-3.46%"
"2022- 10- 04","249.44","250.52","257.50","242.01","109.58M","2.90%"
"2022- 10- 03","242.40","254.50","255.16","241.01","98.36M","-8.61%"
"2022- 09- 30","265.25","266.14","275.57","262.47","67.73M","-1.10%"
"2022- 09- 29","268.21","282.76","283.65","265.78","77.62M","-6.81%"
"2022- 09- 28","287.81","283.08","289.00","277.57","54.66M","1.72%"
"2022- 09- 27","282.94","283.84","288.67","277.51","61.93M","2.51%"
"2022- 09- 26","276.01","271.83","284.09","270.31","58.08M","0.25%"
"2022- 09- 23","275.33","283.09","284.50","272.82","63.75M","-4.59%"
"2022- 09- 22","288.59","299.86","301.29","285.82","70.55M","-4.06%"
"2022- 09- 21","300.80","308.29","313.80","300.63","62.56M","-2.57%"
"2022- 09- 20","308.73","306.91","313.33","305.58","61.64M","-0.11%"
"2022- 09- 19","309.07","300.09","309.84","297.80","60.23M","1.89%"
"2022- 09- 16","303.35","299.61","303.71","295.60","87.09M","-0.13%"
"2022- 09- 15","303.75","301.82","309.12","300.72","64.80M","0.38%"
"2022- 09- 14","302.61","292.24","306.00","291.64","72.63M","3.59%"
"2022- 09- 13","292.13","292.90","297.40","290.40","68.23M","-4.04%"
"2022- 09- 12","304.42","300.72","305.49","300.40","48.67M","1.58%"
"2022- 09- 09","299.68","291.67","299.85","291.25","54.47M","3.60%"
"2022- 09- 08","289.26","281.30","289.50","279.76","53.71M","1.96%"
"2022- 09- 07","283.70","273.10","283.84","272.27","50.03M","3.38%"
"2022- 09- 06","274.42","272.68","275.99","265.74","55.86M","1.56%"
"2022- 09- 02","270.21","281.06","282.35","269.08","50.89M","-2.51%"
"2022- 09- 01","277.16","272.57","277.58","266.15","54.29M","0.56%"
"2022- 08- 31","275.61","280.62","281.25","271.81","52.11M","-0.75%"
"2022- 08- 30","277.70","287.87","288.48","272.65","50.54M","-2.50%"
"2022- 08- 29","284.82","282.83","287.74","280.70","41.86M","-1.14%"
"2022- 08- 26","288.09","297.43","302.00","287.47","57.16M","-2.70%"
"2022- 08- 25","296.07","302.36","302.96","291.60","53.23M","-0.35%"
"2022- 08- 24","297.10","297.56","303.65","296.50","57.26M","0.22%"
"2022- 08- 23","296.45","291.45","298.83","287.92","63.99M","2.26%"
"2022- 08- 22","289.91","291.91","292.40","286.30","55.84M","-2.28%"
"2022- 08- 19","296.67","299.00","300.36","292.50","61.40M","-2.05%"
"2022- 08- 18","302.87","306.00","306.50","301.85","47.50M","-0.37%"
"2022- 08- 17","304.00","303.40","309.66","300.03","68.77M","-0.84%"
"2022- 08- 16","306.56","311.67","314.67","302.88","88.14M","-0.89%"
"2022- 08- 15","309.32","301.79","313.13","301.23","89.36M","3.10%"
"2022- 08- 12","300.03","289.41","300.16","285.03","79.66M","4.68%"
