id,user_name,text,write_date
1575581872913907712,Elon Musk,@MuskUniversity True,2022.09.29
1575509494510993408,Elon Musk,"Needs be able to get from Starbase to South Padre Island, which requires crossing the channel",2022.09.29
1575508878300618752,Elon Musk,@WholeMarsBlog Off-label use 🤣,2022.09.29
1575508498430820352,Elon Musk,"Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes &amp; even seas that aren’t too choppy",2022.09.29
1575507735298207744,Elon Musk,@phibetakitten Submarines use electric motors under water …,2022.09.29
1575507004407226374,Elon Musk,Works on land too,2022.09.29
1575500596206936065,Elon Musk,As well as advanced chip &amp; supercomputer engineers for next-gen training &amp; inference,2022.09.29
1575499184764899328,Elon Musk,"Note, this event is meant for recruiting AI &amp; robotics engineers, so will be highly technical",2022.09.29
1575380409616986112,Elon Musk,@stevenmarkryan Pretty much. AI/robotics engineers who understand what problems need to be solved will like what they see.,2022.09.29
1575377995371454464,Elon Musk,@WholeMarsBlog @Gfilche There will be lots of technical detail &amp; cool hardware demos,2022.09.29
1575377597873070080,Elon Musk,@Gfilche Good analysis,2022.09.29
1575271078221357056,Elon Musk,Rated for 280+ kph (174+ mph) winds https://t.co/qJBdykpTT9,2022.09.28
1575270119881601024,Elon Musk,Starlink Maritime system enables high speed Internet connectivity even in heavy seas &amp; hurricane winds https://t.co/6R4p73UGOT,2022.09.28
1575268810109505536,Elon Musk,Last coal shipment arrived in Hawaii at same time as Tesla Megapack batteries that will enable 24/7 sustainable energy https://t.co/zlqJHLsAQq,2022.09.28
1575227124931530753,Elon Musk,@BryceSpaceTech @SpaceX Still very tiny potatoes compared to what’s needed to make life multiplanetary,2022.09.28
1575226816347852800,Elon Musk,@BryceSpaceTech @SpaceX SpaceX now delivering about twice as much payload to orbit as rest of world combined,2022.09.28
1575211053901746177,Elon Musk,@Reuters Extremely concerning,2022.09.28
1575210561964384258,Elon Musk,"@Teslarati @KlenderJoey How ironic, that’s what Henrik Fisker did to Tesla in 2007! Karma is a …",2022.09.28
1575131662354026497,Elon Musk,@alex_avoigt They need to add a lot of batteries to the grid to buffer energy,2022.09.28
1575021541103874048,Elon Musk,https://t.co/mEBAgBCCkj,2022.09.28
1574958348163612672,Elon Musk,I guess this joke is a slow burn … 🥁,2022.09.28
1574957722415398912,Elon Musk,@WholeMarsBlog Big improvement in high speed cross-traffic velocity NN coming next month,2022.09.28
1574956999938256896,Elon Musk,@chrispavlovski @dbongino @rustyrockets Maybe worth talking at some point,2022.09.28
1574901832622612480,Elon Musk,Make “hair on fire” not just a metaphor,2022.09.27
1574897832095408128,Elon Musk,https://t.co/1hbMzueALi,2022.09.27
1574897489005510656,Elon Musk,Stand out in a crowd! Get noticed as you walk through the airport!,2022.09.27
1574896997416374272,Elon Musk,"Coming soon from @BoringCompany, the same people that sold you a Flamethrower",2022.09.27
1574895951973449729,Elon Musk,“Burnt Hair” – Scent for Men by Singed,2022.09.27
1574888044905185281,Elon Musk,@dbongino @rustyrockets I’m a little preoccupied rn,2022.09.27
1574887915385016321,Elon Musk,@ID_AA_Carmack Batteries ftw,2022.09.27
1574885241948319744,Elon Musk,@rustyrockets Good point,2022.09.27
1574803555873345536,Elon Musk,"My son, Saxon, was amazed that so many paper newspapers are still produced every day. He said they probably just search the Internet &amp; print it out. Yup, with rare exception, that is *actually* what they do haha.",2022.09.27
1574794308523380744,Elon Musk,https://t.co/RcKPRe8eiM,2022.09.27
1574773851523022850,Elon Musk,"Falcon 9 fairing cam captures 2nd stage plume, booster entry burn &amp; Earth in twilight https://t.co/ga9MpZKvK2",2022.09.27
1574625957926707200,Elon Musk,"@lacker @ilyasut Even then, Lenin would’ve gotten nowhere without Ludendorff’s train",2022.09.27
1574193494436069377,Elon Musk,@Tesmanian_com Charming …,2022.09.26
1574126470049431558,Elon Musk,https://t.co/qeiDmU3sOg,2022.09.25
1574120217411604481,Elon Musk,https://t.co/2wpp3F31jA,2022.09.25
1574112663864430593,Elon Musk,Starlink now over 1M user terminals manufactured,2022.09.25
1573624036957065217,Elon Musk,@Stephen_Geiger Siegel is obviously correct,2022.09.24
1573379244268437504,Elon Musk,@SecBlinken Activating Starlink …,2022.09.23
1573165011484413952,Elon Musk,@teslaownersSV @stevenmarkryan Education is the path out of poverty and Internet access enables education,2022.09.23
1573164441084067842,Elon Musk,@stevenmarkryan Exactly,2022.09.23
1573144936756965376,Elon Musk,Starlink connecting schools in the Amazon,2022.09.23
1573047790577614848,Elon Musk,@jackfarrington @PopMech It is,2022.09.22
1573026765295030273,Elon Musk,@PopMech Why is this a PopMech story?,2022.09.22
1573007878042296320,Elon Musk,@BillyM2k https://t.co/vFVHaB1l4t https://t.co/PupzZNZcPE,2022.09.22
1573004188791066627,Elon Musk,@ajtourville @Twitter @paraga Yup (sigh),2022.09.22
1572986371295289351,Elon Musk,@MuskUniversity Fully reusable orbital rockets are the fundamental breakthrough needed for humanity to become a multiplanet species,2022.09.22
1572985952683065345,Elon Musk,"@stocktalkweekly @WholeMarsBlog @SawyerMerritt The terminology is outdated &amp; inaccurate. This is a tiny over-the-air software update. To the best of our knowledge, there have been no injuries.",2022.09.22
1572970174629691395,Elon Musk,"@JoeTegtmeyer @teslascope @johnkrausphotos Your car needs a camera upgrade, which is free of charge. There are a few thousand cars in a similar situation. Replacement cameras will be available early next month.",2022.09.22
1572968110235455488,Elon Musk,@Rainmaker1973 @biolocousb While (!pheromone) {},2022.09.22
1572729532532023299,Elon Musk,@BillyM2k 🤣👍,2022.09.21
1572693484213272580,Elon Musk,@teslaownersSV @SawyerMerritt Shaded patio,2022.09.21
1572693048433479680,Elon Musk,"@SawyerMerritt Actually, I live in a little house on Weems St that cost ~$50k (but I’ve done a lot with the place!)",2022.09.21
1572692745633808384,Elon Musk,@MuskUniversity Aka cogency,2022.09.21
1572632382561484800,Elon Musk,@BillyM2k Looks awesome 😎,2022.09.21
1572620091396878338,Elon Musk,@teslaownersSV @Teslarati Maybe little electric Tesla boats with a retro-futuristic Victorian design,2022.09.21
1572619068347404288,Elon Musk,"@Teslarati Long-term goal is a boardwalk with amenities that goes all the way to downtown Austin, so you can walk, bike or kayak",2022.09.21
1572617803936727046,Elon Musk,@Teslarati Area from south Giga to river really will be next-level great &amp; open to public!,2022.09.21
1572616456071938049,Elon Musk,"@Teslarati @KlenderJoey Ecological paradise plans from south portion of Giga Texas to river look great, however we must first get the factory financially on its feet",2022.09.21
