id,user_name,text,write_date
1266811094527508481,Elon Musk,5 mins to T-0,2020.05.30
1266695491879911424,Elon Musk,"@engineers_feed Falcon/Dragon are designed to withstand multiple lightning strikes, but we don’t think it would be wise to take this risk",2020.05.30
1266694593480929282,Elon Musk,"@Commercial_Crew @NASA @SpaceX Proceeding with countdown today, weather cancellation risk ~50%",2020.05.30
1266678248072757248,Elon Musk,@fermatslibrary Yes,2020.05.30
1266436499341545472,Elon Musk,"@cleantechnica Worth noting that, as of Jan 1, Tesla buyers no longer received any federal tax credit. Model 3 led despite this disadvantage.",2020.05.29
1266194688077422609,Elon Musk,"@Erdayastronaut @vincent13031925 We slowed down a bit to allow Supercharger V3 production to get going, but now will speed up!",2020.05.29
1266193280749965315,Elon Musk,@vincent13031925 More Superchargers coming soon!,2020.05.29
1265759902242308096,Elon Musk,@SpaceX @tristaneaton human kind,2020.05.27
1265736575415132160,Elon Musk,https://t.co/mMHsTxyxNx,2020.05.27
1265488797254516738,Elon Musk,Sunset https://t.co/fpLhlqvuJg,2020.05.27
1265484748811653121,Elon Musk,"@SciGuySpace @ChrisG_NSF Yeah, Atlantic weather review tomorrow morning will determine if we can launch",2020.05.27
1265473724414865408,Elon Musk,@Rachael_Joy Feels so long ago,2020.05.27
1265352210013212674,Elon Musk,@SamTalksTesla @RationalEtienne @thirdrowtesla @wholemarslog @28delayslater @vincent13031925 @teslaownersSV Haha true,2020.05.26
1265343483130380291,Elon Musk,@EmreKelly 😎,2020.05.26
1265316864462290946,Elon Musk,@flcnhvy I sure hope so!,2020.05.26
1265315536084369408,Elon Musk,Dragon Dawn https://t.co/mz1EzU5GSO,2020.05.26
1265300166183174144,Elon Musk,@lexfridman @SpaceX @NASA Thanks Lex!,2020.05.26
1265175519039029248,Elon Musk,@RealClearNews Good question https://t.co/8jpu98XFu7,2020.05.26
1265071009482358790,Elon Musk,@RealClearNews Worth reading,2020.05.26
1265020866741460992,Elon Musk,@Virgin_Orbit Sorry to hear that. Orbit is hard. Took us four attempts with Falcon 1.,2020.05.25
1264757137839845376,Elon Musk,@TheRealBuzz @SpaceX @NASA Thanks Buzz!,2020.05.25
1264702272962871297,Elon Musk,The @Space_Station is circling Earth at 25 times the speed of sound,2020.05.24
1264689446282125312,Elon Musk,@theEmcon 🤣🤣,2020.05.24
1264659677238845440,Elon Musk,@jimkwik @jadescipioni No problem,2020.05.24
1264633864627957761,Elon Musk,https://t.co/iSGrzHgENp,2020.05.24
1264630691641167872,Elon Musk,@PPathole @TheOnion Cute as a button,2020.05.24
1264630080627568643,Elon Musk,@TheOnion Fallout New Omaha,2020.05.24
1264612508536410112,Elon Musk,@NASA @SpaceX 🚀♥️,2020.05.24
1264607273764052992,Elon Musk,"@jadescipioni @jimkwik His ideas sound sensible, but he was not my or SpaceX’s “brain coach”. I think he maybe gave a talk once.",2020.05.24
1264337878080880641,Elon Musk,@JonErlichman 5 years ago. We need to accelerate progress towards fully reusable rockets. Cost per ton to orbit needs to improve by &gt;1000% from where Falcon is today for there to be a self-sustaining city on Mars.,2020.05.23
1264324386783236096,Elon Musk,@Erdayastronaut @NASA @SpaceX Mars needs to happen soon,2020.05.23
1264279893564518400,Elon Musk,Made on Earth by humans,2020.05.23
1264278863103680513,Elon Musk,https://t.co/72pvzGWAs8,2020.05.23
1264278385200517120,Elon Musk,@cbs_spacenews @NASASpaceflight Cool,2020.05.23
1264268456007831552,Elon Musk,@RyanMaue @flcnhvy @jayleno Pretty much,2020.05.23
1264262116954927104,Elon Musk,"@flcnhvy @jayleno Reviewed design with Franz last night. Even 3% smaller is too small. Will be pretty much this size. We’ll probably do a smaller, tight world truck at some point.",2020.05.23
1264080611142037504,Elon Musk,@flcnhvy Haha true! Hard to convey tone in tweets. Many people would probably be a lot less upset if they heard me speak the words.,2020.05.23
1263986666907160577,Elon Musk,@nichegamer 🤣🤣,2020.05.23
1263985702070411264,Elon Musk,@SpaceX Astronauts to orbit in 5 days!!,2020.05.23
1263985086828969984,Elon Musk,@cleantechnica Fate 🖤 Irony,2020.05.23
1263983484546150400,Elon Musk,The medium is the message https://t.co/IOu4JogVmF,2020.05.23
1263979479992393728,Elon Musk,@archillect Time to return,2020.05.22
1263974671860424705,Elon Musk,@SaulRight2017 New New Hampshire license plate?,2020.05.22
1263974008900382721,Elon Musk,"Open your eyes, look up to the skies",2020.05.22
1263940898955489280,Elon Musk,@anzhelikashhhh Когда рак на горе свистнет,2020.05.22
1263939645395439616,Elon Musk,@RickandMorty Great episode,2020.05.22
1263938669557116928,Elon Musk,@coollstranger Мне очень нравится звучание русского языка,2020.05.22
1263924084804444160,Elon Musk,@Erdayastronaut @WhatsupFranks @SpaceX Sure,2020.05.22
1263916881045450752,Elon Musk,@cybrtrkguy @28delayslater @WhatsupFranks @SpaceX Jay *really* knows cars! Next-level.,2020.05.22
1263916562538356737,Elon Musk,@SciGuySpace I’m a big fan of Kathy Lueders!,2020.05.22
1263911642091253760,Elon Musk,@WhatsupFranks @SpaceX Mission control at the Cape,2020.05.22
