id,user_name,text,write_date
1233153286015868928,Elon Musk,@Teslarati It’s not that big really,2020.02.27
1233115872698351621,Elon Musk,@SpaceX Testing Raptor in vertical configuration (on the giant tripod) should allow us to simplify some aspects of the engine design,2020.02.27
1232748533486276608,Elon Musk,@newscientist It’s not mine,2020.02.26
1232737675364274176,Elon Musk,@Foxfire40900590 Definitely! What’s in that sky city thing!?  Needs a prequel even more than a sequel.,2020.02.26
1232717030370856960,Elon Musk,@Erdayastronaut @JaneidyEve @JakeTheHuman28 @tesla_truth @Twitter Sure,2020.02.26
1232709990642675712,Elon Musk,@JaneidyEve @JakeTheHuman28 @tesla_truth @Twitter Posting SpaceX videos is definitely not copyright infringement!,2020.02.26
1232566868541505536,Elon Musk,"@j_brorsson @Teslarati Hopefully, in March. Checking …",2020.02.26
1232566420006821888,Elon Musk,@Teslarati I had no idea this existed. Sounds awesome though!,2020.02.26
1232563408937115655,Elon Musk,"@RationalEtienne @Bryr32 Full disclosure, I’m actually a 3000 year old vampire. It’s such a trial assuming all these false identities over the centuries!",2020.02.26
1232556310874533888,Elon Musk,"@Bryr32 We had the wrong settings! To make the welds super flat &amp; strong, we’re building a heavy duty, custom planisher, but just having the right settings is a major improvement.",2020.02.26
1232554273235513344,Elon Musk,@flcnhvy Yes,2020.02.26
1232437566932017154,Elon Musk,@justpaulinelol 3 on SN2,2020.02.25
1232437492571201536,Elon Musk,SN2 tank integration starts this week with much less circumferential pucker. Thanks Fronius!,2020.02.25
1232436994191441920,Elon Musk,Starship SN1 tank preparing for Raptor attachment &amp; static fire https://t.co/jx0ijLrxWx,2020.02.25
1232405467600539648,Elon Musk,@oyvi00i 🤣🤣 some are good tho,2020.02.25
1232401922952331264,Elon Musk,And that’s why cones were invented https://t.co/7YKfEIGvPq,2020.02.25
1232397468240711681,Elon Musk,Tinny https://t.co/N1p5qZvx0D,2020.02.25
1232234816654856195,Elon Musk,Rococo is alive &amp; living in our hearts,2020.02.25
