id,user_name,text,write_date
1244740627847237632,Hal Magice,테슬라 완전 살인귀던데; 애가 안 그렇게 봤는데 음쩡 살벌하드라고...,2020.03.30
1244725057919660033,Fact Core,1878년에 토마스 에디슨이 '푸시업'을 발명했다고 알려진 것은 사실이 아니다. 사실은 그보다 3년 전에 니콜라이 테슬라가 그 운동 방법에 대해 '테슬라-사이즈'라는 이름으로 특허를 받았다.,2020.03.30
1244709554555740161,환해의 꿈나비,"""네, 제레도 테슬라 님과 거의 동시에 일어났어요."" (이벤트)",2020.03.30
1244709078795878400,우떵,"하...텟핕...보고싶네..생각해보니까 요즘 테슬라 많이 맞는것같다 https://t.co/NpaH95wIiV",2020.03.30
1244680234231672833,Hal Magice,(테슬라 이빨이 번쩍),2020.03.30
1244656916636127232,최강,테슬라 모델3 OBD2 활용-2 : OBD2 단자에 HRN-CT20T11 어댑터를 이용한 OBD 단자에 블랙박스 연결 https://t.co/uDWaEZrUFG,2020.03.30
1244654348799340548,xkim,테슬라 차 좋드라,2020.03.30
1244652706796408833,SABA,"테슬라로는 해본 적이 있기라도 하지....타다오미로는 배틀을 안 해봐서 더 자신 없어 ....",2020.03.30
1244651307085910016,Mr. OK,어제 처음으로 테슬라 모델 3 퍼포먼스를 마주하게 됐는데... 조립 품질 꽤 나아졌더라. 모델 S나 X에서 보이던 추레한 조립 품질과는 달라 보이던. 근데 저기서 또 티가 안 나는 건 아니었음 ㅋㅋ...,2020.03.30
1244648157255852033,RIANIN,테슬라 정말 갓캐라고 생각하는데 2스넉뱁 주차방해만 없었어도 더욱 갓캐였을것,2020.03.30
1244647628509294594,샤더왕(준쮸_삐융🐥) 시아준수 김준수 xia,@Onlyxia_yull @dungdungXiA @DDiarium 정답☆ㅋㅋㅋㅋㅋ테슬라&amp;사이드로 칙힌?ㅋㅋㅋ,2020.03.30
1244647027503325184,(뜸트)🥥율🍒,@dungdungXiA @xiather_xia @DDiarium 메인은 메이비 테슬라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2020.03.30
1244646865976479746,샤더왕(준쮸_삐융🐥) 시아준수 김준수 xia,"@Onlyxia_yull @DDiarium 어??그거 당연한거 아니예오?집들이 선물인데요ㅋㅋㅋㅋ테슬라세트ㅋㅋㅋㅋㅋ",2020.03.30
1244646497104216064,(뜸트)🥥율🍒,@xiather_xia @DDiarium 그렇다면 테슬라 세트는요?👀,2020.03.30
1244639119134740480,Husband of Rebekah,"커펌 스위치의 치트기능을 편리하게 사용, 테슬라 메뉴 설치 가이드 https://t.co/hivI8wSfNA",2020.03.30
1244629345806639104,huka영업부장,휘닥 시즌12 역사캐랑 다 엮어먹지 않나 러브레이스 테슬라....,2020.03.30
1244628769760923649,DeepLife,가장 만족스러운 테슬라가 꼴찌인 이 표를 보고 있으면 누가 그린건가 싶은 생각이 가끔... https://t.co/rbVtj0ryfX,2020.03.30
1244628492668391428,🏳️‍🌈ଳ ᙅ⩬ 통 밖의 도스,??? 테슬라휘닥???,2020.03.30
1244625257639448577,보세요 닥터후광인,"테슬라휘닥 뭐냐고요ㅋㅋㅋㅋㅋ",2020.03.30
1244618941013450754,환해의 꿈나비,"""어? 그럼 테슬라 님이..."" (이벤트)",2020.03.30
1244615938575458305,술,고속도로에서 칼치기하면서 달리는 테슬라가 미래...,2020.03.30
1244615811941072896,술,테슬라가 미래다,2020.03.30
1244615649764073472,에온,"아슈든 테슬라든 각성 잘 나오면 열심히 키워줄 의향 만만이라고 지금  ㅠㅠㅠ",2020.03.30
1244615449809022976,에온,"아렉테(아슈렉터테슬라라는뜻)각성줘 빨리와 나 현기증 나서 미치겟어 ~",2020.03.30
1244611482496585728,Born Sleepy,@motorchang 아니 그 테슬라 말고 이 테슬라 선생님이요. https://t.co/eVWtO3XFIk,2020.03.30
1244610323279040513,드림계딱대,"@chat_siam 1계정은 달비라(보조딜) 랑 치모시카는 원딜이구요3은 가리에서폿 레이 근딜이고 테슬라 원딜이에요편하신걸루고르시면대요~!~!",2020.03.30
1244608680974094336,Born Sleepy,"Tesla Vs Lovecraft???도대체 이 둘을 쌈 붙인다는 미친 발상을 왜 한건지 모르겠네.. 난 또 왜 이 매치업이 나름 그럴싸 하다고 생각을 하고 있는거지? 물론 편을 들라면 테슬라의 편입니다 전.https://t.co/jm9FKxT1Ua",2020.03.30
1244605736782426113,kihang,"테슬라 구매하신 분들, 글로브박스 열어보려는데 버튼이 없어서 당황하셨죠? 그럴 땐 당황하지마시고 허스키한 목소리로(중요) 글러브박스 열어달라 하면 열어줍니다. 버튼은 왜 없을까요? 일론 회장님은 버튼이 싫타고 하셔쓰. #NOMORE_NTHROOM#N번방재판_오덕식_배제#N번방은_판결을_먹고_자랐다 https://t.co/rsx3fXdPbQ",2020.03.30
1244588355116920833,프로공상수벌채꾼,배배지에디슨테슬라파라켈피오쌤 수물물화생으로 과학고하이틴주세요 ~이것은꿈도희망도없는입시와학생부의이야기~ 지과는 음...,2020.03.30
1244585131152564224,Yeonsu,@bulong2 테슬라 출고가 수원이군요. 신기해라... ㅎㅎㅎ 역시 사람은 기술인가요. &gt;_&lt; 수원 괜찮아요. :-) 하지만 전 포항의 바다가 부럽습니다. 없는게 있으면 그건 다 부러운. ㅎㅎㅎㅎ,2020.03.30
1244575834444189696,김영우,"바로 적용가능한, 상위0.01% 혁신적 사업가 엘론머스크 시간관리 비법 ( feat. 여러개의 사업을 운영하는 방법 (테슬라, 스... https://t.co/c0aFIuIBDx @YouTube 님이 공유",2020.03.30
1244565171516755968,Twitstr Hipstr,"'200달러 인공호흡기 1백만대' 프로젝트 떴다 https://t.co/EwZye0UUgI 코로나19로 각국 ""인공호흡기 보내달라"" 호소다이슨·지엠·포드·테슬라 업종무관 긴급 투입 각국 수백명 전문가 크라우드소싱 자원봉사 나서",2020.03.30
1244554856318132224,박영석,"@KUZIRA81 모델3 출고지가 수원이고 테슬라 모델3는 유리 루프라서 유경험자 아니면 제대로 못한다고 해서, 2월말 예약하고 한달 기다렸네요..😝요집 테슬라땜에 완전히 대박났어요댕겨 보니까 수원 살기 좋은 도시 같습니다.",2020.03.30
1244553517492105216,Grass roots Shout,"'200달러 인공호흡기 1백만대' 프로젝트 떴다-코로나19로 각국""인공호흡기 보내달라""호소. 다이슨·지엠·포드·테슬라 업종무관 긴급투입. 각국수백명전문가 “인류를돕자” 크라우드소싱자원봉사나서. 200달러미만의,전력소모적은인공호흡기100만대개발하기위해분투하고있다. https://t.co/C6m44qt1PT",2020.03.30
1244551894644617216,Hal Magice,근방 돌아봤는감? 테슬라 보니까 뭔가 떼를 쓰는 듯한 마음으로 찾아다니면 재수가 좋아지더라고.,2020.03.30
1244539262839619587,하늘손,아재여러분 테슬라 요즘 유행하는 것은 맞습니다만..... ['테슬라' 싸게 파는 하이트…버거 내놓은 교촌] https://t.co/QC6ecre1Dp,2020.03.30
1244538218692796417,VibeScanner,"코로나19 잡기 위해 자동차 회사 테슬라에서 인공호흡기 생산한다. 　더 알아보기: https://t.co/YWu2HkCelU https://t.co/7bQi5ZVHM9",2020.03.30
1244527227896598530,👿🦂오옹,@SconeLover_07 테슬라 궁쓸때가 문제네욤ㅠㅠ 다시..도전해보겠습니다..,2020.03.30
